VAULT MAP - TEXT VERSION
====================================================================================================

Floor  1: FakeWasteland (Lvl 1, Merge 1) | FakeWasteland (Lvl 1, Merge 1) | FakeWasteland (Lvl 1, Merge 1) | Entrance (Lvl 1, Merge 2) | Entrance (Lvl 1, Merge 2) | Entrance (Lvl 1, Merge 2) | Entrance (Lvl 1, Merge 2) | Entrance (Lvl 1, Merge 2) | Entrance (Lvl 1, Merge 2) | Elevator (Lvl 1, Merge 1) | LivingQuarters (Lvl 1, Merge 3) | LivingQuarters (Lvl 1, Merge 3) | LivingQuarters (Lvl 1, Merge 3) | LivingQuarters (Lvl 1, Merge 3) | LivingQuarters (Lvl 1, Merge 3) | LivingQuarters (Lvl 1, Merge 3) | LivingQuarters (Lvl 1, Merge 3) | LivingQuarters (Lvl 1, Merge 3) | LivingQuarters (Lvl 1, Merge 3) | Empty | Empty | Empty | Empty | Empty | Empty | Empty
Floor  2: Empty | Empty | Empty | Geothermal (Lvl 1, Merge 2) | Geothermal (Lvl 1, Merge 2) | Geothermal (Lvl 1, Merge 2) | Geothermal (Lvl 1, Merge 2) | Geothermal (Lvl 1, Merge 2) | Geothermal (Lvl 1, Merge 2) | Elevator (Lvl 1, Merge 1) | Cafeteria (Lvl 2, Merge 2) | Cafeteria (Lvl 2, Merge 2) | Cafeteria (Lvl 2, Merge 2) | Cafeteria (Lvl 2, Merge 2) | Cafeteria (Lvl 2, Merge 2) | Cafeteria (Lvl 2, Merge 2) | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty
Floor  3: WaterPlant (Lvl 1, Merge 3) | WaterPlant (Lvl 1, Merge 3) | WaterPlant (Lvl 1, Merge 3) | WaterPlant (Lvl 1, Merge 3) | WaterPlant (Lvl 1, Merge 3) | WaterPlant (Lvl 1, Merge 3) | WaterPlant (Lvl 1, Merge 3) | WaterPlant (Lvl 1, Merge 3) | WaterPlant (Lvl 1, Merge 3) | Elevator (Lvl 1, Merge 1) | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty
Floor  4: Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty
Floor  5: Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty
Floor  6: Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty
Floor  7: Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty
Floor  8: Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty
Floor  9: Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty
Floor 10: Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty
Floor 11: Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty
Floor 12: Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty
Floor 13: Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty
Floor 14: Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty
Floor 15: Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty
Floor 16: Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty
Floor 17: Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty
Floor 18: Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty
Floor 19: Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty
Floor 20: Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty
Floor 21: Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty
Floor 22: Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty
Floor 23: Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty
Floor 24: Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty
Floor 25: Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty | Empty
